actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.630715,-0.149266,0.239795,1.755254,2.601522,0.008543
0.630714,-0.149258,0.239790,1.755213,2.601561,0.008534
0.630727,-0.149229,0.239787,1.755146,2.601562,0.008549
0.630728,-0.149258,0.239811,1.755190,2.601528,0.008574
0.630707,-0.149244,0.239747,1.755243,2.601606,0.008458
0.630710,-0.149244,0.239769,1.755221,2.601573,0.008498
0.630719,-0.149253,0.239784,1.755189,2.601524,0.008533
0.630711,-0.149278,0.239791,1.755255,2.601490,0.008481
0.630715,-0.149261,0.239764,1.755281,2.601525,0.008482
0.630718,-0.149253,0.239755,1.755228,2.601549,0.008492
0.630719,-0.149254,0.239784,1.755186,2.601519,0.008517
0.630724,-0.149262,0.239775,1.755233,2.601488,0.008517
0.630717,-0.149244,0.239767,1.755230,2.601518,0.008538
0.630716,-0.149261,0.239791,1.755183,2.601516,0.008543
0.630707,-0.149275,0.239783,1.755230,2.601485,0.008543
0.630725,-0.149253,0.239810,1.755224,2.601441,0.008583
0.630720,-0.149232,0.239806,1.755155,2.601507,0.008523
0.630714,-0.149260,0.239842,1.755190,2.601426,0.008614
0.630725,-0.149245,0.239879,1.755069,2.601412,0.008559
0.630706,-0.149261,0.239850,1.755209,2.601418,0.008588
0.630712,-0.149259,0.239885,1.755182,2.601378,0.008680
0.630716,-0.149268,0.239911,1.755170,2.601328,0.008705
0.630724,-0.149254,0.239919,1.755088,2.601375,0.008689
0.630745,-0.149261,0.240004,1.755017,2.601236,0.008866
0.630738,-0.149276,0.239971,1.755123,2.601225,0.008816
0.630734,-0.149261,0.239990,1.755061,2.601269,0.008814
0.630731,-0.149277,0.239954,1.755133,2.601274,0.008748
0.630739,-0.149268,0.239996,1.755013,2.601231,0.008739
0.630744,-0.149257,0.239973,1.755057,2.601262,0.008757
0.630729,-0.149273,0.239985,1.755053,2.601256,0.008741
0.630729,-0.149281,0.239961,1.755122,2.601258,0.008701
0.630749,-0.149273,0.239975,1.755070,2.601215,0.008788
0.630734,-0.149249,0.239982,1.755061,2.601235,0.008777
0.630739,-0.149287,0.239984,1.755112,2.601175,0.008797
0.630736,-0.149286,0.239961,1.755094,2.601219,0.008793
0.630733,-0.149295,0.239997,1.755128,2.601164,0.008797
0.630739,-0.149278,0.239974,1.755150,2.601201,0.008799
0.630730,-0.149287,0.239981,1.755091,2.601213,0.008778
