actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
-10.258331,-2.978823,4.927992,0.067201,1.157818,-0.273531
-9.027576,-3.249339,4.928953,0.036642,1.083509,-0.285829
-9.345555,-3.338135,6.304375,0.026907,1.029716,-0.312289
-7.800494,-2.959276,5.332626,0.039655,0.922016,-0.313027
-6.768432,-2.773010,6.912740,0.046388,0.783155,-0.317632
-5.843746,-2.740121,7.155494,0.063900,0.655868,-0.318362
-5.001191,-2.167910,7.193300,0.068531,0.556590,-0.318735
-4.503484,-1.970550,8.310406,0.068851,0.466400,-0.330220
-3.562509,-1.725345,8.454960,0.103211,0.371467,-0.338629
-3.434668,-1.791636,8.406957,0.099837,0.290470,-0.360426
-2.765591,-2.340490,9.217407,0.087458,0.186055,-0.384141
-1.627810,-2.016056,8.739769,0.106204,0.054112,-0.384457
-1.620934,-2.123679,9.276027,0.104409,-0.000923,-0.391046
-3.300567,-2.013065,9.033038,0.129986,0.061019,-0.392662
-3.145812,-1.879880,9.463074,0.137975,0.082183,-0.381245
-3.928279,-2.006635,9.134471,0.155126,0.099858,-0.389932
-3.458430,-2.172523,9.346922,0.178696,0.147992,-0.377502
-5.214500,-2.849206,8.275231,0.180049,0.263090,-0.361944
-5.147173,-3.368540,8.214476,0.183201,0.327522,-0.350481
-6.836216,-4.046727,8.061296,0.172818,0.437436,-0.338725
-7.017377,-3.831935,8.114616,0.179544,0.462853,-0.312343
-7.191584,-3.729955,7.563265,0.188976,0.490657,-0.305549
-8.283201,-3.811728,8.315290,0.193252,0.523142,-0.307544
-7.671795,-4.195775,8.399001,0.193498,0.501464,-0.327675
-9.337770,-4.788109,7.635583,0.196362,0.618406,-0.323553
-7.755394,-4.443808,9.015309,0.199976,0.616679,-0.332337
-8.881773,-4.792439,8.455648,0.185727,0.675611,-0.345057
-9.882466,-5.541721,8.995446,0.155339,0.724366,-0.370175
-8.813151,-5.431933,9.800131,0.153304,0.655167,-0.379759
-9.056567,-4.804072,10.001166,0.146117,0.608158,-0.368328
-8.698833,-5.518854,10.620680,0.143612,0.605291,-0.349278
-9.567264,-6.853389,10.326303,0.119769,0.590963,-0.334380
-7.361697,-4.917529,11.460907,0.161304,0.467540,-0.312458
-7.038978,-3.932734,10.752683,0.196769,0.421396,-0.275895
-9.664078,-6.924202,12.339727,0.132374,0.469050,-0.228210
-6.877984,-3.166514,10.224147,0.278649,0.379284,-0.201084
-8.753488,-3.547595,12.527948,0.267185,0.391713,-0.161515
-5.577402,-3.593164,12.567165,0.291557,0.239277,-0.117801
-5.051078,-1.294409,12.144176,0.381877,0.190379,-0.059476
-7.858806,-1.315613,12.765768,0.382750,0.287929,0.001717
-8.300371,-2.933120,12.511938,0.349950,0.280957,0.041640
-8.881681,-2.959452,12.825399,0.384976,0.353671,0.103180
-7.274979,-1.407660,12.633859,0.430512,0.277008,0.104664
-7.279027,-2.472660,12.720794,0.394828,0.286902,0.107530
-6.378754,-1.637448,12.330208,0.434479,0.281376,0.117724
-6.393771,-1.061805,12.251036,0.453591,0.267639,0.145080
-6.615484,0.058924,12.748399,0.486973,0.266529,0.164624
-6.791702,-0.423780,12.526435,0.492741,0.293038,0.170908
-7.391727,-2.435295,12.606943,0.446116,0.365410,0.166546
-7.074071,-0.298701,12.438530,0.503068,0.343008,0.193630
-7.221258,-0.219435,12.419597,0.534642,0.365976,0.221029
-7.509230,-0.452379,12.122138,0.515210,0.363672,0.248005
-7.699186,0.420754,12.719743,0.555253,0.374630,0.240067
-7.955423,0.621499,13.385798,0.530012,0.413975,0.163636
-7.320509,-0.870135,12.404664,0.472369,0.436875,0.111870
-7.085620,-2.162564,12.321003,0.393898,0.420327,0.124052
-6.749303,-1.824284,12.586036,0.432166,0.356632,0.139603
-5.033112,0.049388,12.520188,0.492455,0.321099,0.154893
-5.929925,0.222983,13.269109,0.482853,0.342249,0.132763
-4.918201,-0.877347,12.645966,0.434728,0.306808,0.129164
-4.618983,-1.563174,12.739665,0.429116,0.251953,0.154049
-3.034554,0.004057,12.450178,0.465626,0.167774,0.192043
-1.803165,1.121669,12.834809,0.521493,0.081371,0.200919
-3.409588,-1.790188,12.793928,0.438104,0.141220,0.202118
-2.801022,-1.024720,12.927746,0.452182,0.156007,0.145033
-3.456926,-0.591915,12.337516,0.415673,0.167442,0.131002
-2.950921,0.510047,12.440118,0.485747,0.134482,0.148617
-3.402905,-1.669600,12.305606,0.409285,0.150860,0.182878
-2.175611,0.209744,12.670341,0.449304,0.072798,0.150615
-1.767915,0.877029,12.504957,0.442393,0.051194,0.134249
-0.562616,0.186182,12.416769,0.444129,0.033008,0.087335
-2.901508,-1.350921,12.101234,0.381642,0.101522,0.065880
-2.491315,-1.444622,12.064484,0.390920,0.102727,0.059150
-0.922814,0.005621,11.077098,0.432761,0.094043,0.055916
-2.774896,-2.122731,10.771288,0.384774,0.104708,0.054974
-4.057899,-2.849322,11.895211,0.334802,0.170939,0.055109
-2.929022,-0.943432,11.025201,0.385809,0.109373,0.041898
-2.838120,-1.774398,11.158192,0.379521,0.111388,0.056360
-3.047854,-2.470660,11.245180,0.373826,0.100536,0.056365
-2.359068,-0.737216,11.292561,0.413912,0.039239,0.049306
-1.979160,-1.276012,10.742957,0.413091,0.049836,0.071559
-0.733036,-0.631437,10.715979,0.408516,-0.032051,0.060846
-1.208326,-2.468153,10.054042,0.341352,-0.046452,0.051990
-0.397394,-2.054337,9.948583,0.355305,-0.091153,0.036077
0.971373,-0.859110,10.032333,0.386946,-0.161862,0.038638
0.454651,-1.804397,9.807833,0.352688,-0.160525,0.052717
0.672478,-2.046710,9.925951,0.341295,-0.199576,0.044194
0.994030,-1.677968,10.227288,0.355638,-0.231651,0.040942
0.924273,-1.187229,9.708115,0.357475,-0.254492,0.071619
2.732824,-1.228789,9.442886,0.386406,-0.342050,0.088863
1.653701,-2.566100,9.207165,0.347509,-0.306543,0.107102
2.749111,-1.619070,9.405637,0.376637,-0.363601,0.113070
4.108548,-0.475075,8.664332,0.405913,-0.434828,0.156484
3.970873,-1.858659,8.229983,0.361222,-0.461356,0.212451
3.809135,-1.895874,8.657185,0.368166,-0.491938,0.215084
5.569550,-1.004096,8.549858,0.383355,-0.546881,0.227130
6.032501,-0.579327,8.301468,0.396233,-0.599763,0.246020
6.562561,-0.939862,7.898319,0.375492,-0.644615,0.245386
6.330417,-1.874885,7.748988,0.334575,-0.612975,0.236914
6.533119,-0.610070,7.239632,0.331847,-0.605428,0.234460
6.819956,-1.693016,6.929121,0.312751,-0.609991,0.241708
6.590006,-2.635212,6.956788,0.277208,-0.597354,0.245511
6.807692,-2.134882,6.709043,0.275839,-0.619835,0.217357
6.525226,-1.947161,6.161398,0.286318,-0.584118,0.186114
6.491928,-2.149497,5.934441,0.292210,-0.547813,0.194596
6.872095,-2.332195,5.912190,0.272643,-0.565544,0.189698
6.816605,-2.145705,5.748924,0.272379,-0.520222,0.169316
5.375355,-2.688239,5.660253,0.241546,-0.479339,0.167124
4.887283,-3.666251,5.360375,0.240016,-0.455081,0.150481
5.553104,-2.135644,5.538332,0.252377,-0.477084,0.151661
5.582335,-1.979717,5.297151,0.268608,-0.498009,0.161428
6.017736,-2.343492,5.173900,0.279637,-0.508624,0.158562
4.846588,-2.577764,5.152965,0.244083,-0.456316,0.163677
5.130129,-3.318713,5.105874,0.210247,-0.466740,0.131470
4.146630,-3.695282,4.870626,0.198533,-0.416092,0.094343
3.908001,-3.358185,4.853999,0.183193,-0.430268,0.089807
4.026381,-4.170920,4.579360,0.164499,-0.405245,0.090446
4.390161,-4.355490,4.340071,0.150155,-0.420967,0.075603
4.796247,-4.745775,4.388522,0.126343,-0.468985,0.074504
4.428420,-5.229976,4.194113,0.109094,-0.455815,0.059289
4.011137,-4.946387,4.245605,0.096252,-0.446694,0.050379
4.123229,-4.967404,3.966574,0.103791,-0.439317,0.057719
4.154590,-4.642090,3.849622,0.094161,-0.453589,0.065598
3.928984,-5.648107,3.536981,0.059320,-0.463332,0.088335
5.015623,-5.364360,3.239923,0.081306,-0.528685,0.080931
4.601672,-5.780748,3.321047,0.015962,-0.532977,0.102616
4.156168,-7.185886,3.469816,-0.017466,-0.524378,0.094284
5.032201,-6.337556,3.010213,0.006091,-0.541850,0.096401
5.148596,-5.820583,2.976966,-0.005847,-0.566234,0.134328
3.731232,-6.967199,2.667456,-0.039438,-0.493722,0.153678
4.591158,-6.022842,2.543256,-0.005797,-0.548659,0.159678
4.399224,-6.685234,1.794065,-0.030197,-0.540598,0.193134
3.940395,-6.711827,1.494117,-0.040525,-0.518949,0.202598
4.256611,-6.229145,1.147323,-0.038237,-0.513386,0.201595
5.238765,-7.079477,1.537560,-0.070882,-0.565588,0.223910
5.891791,-6.473355,1.555629,-0.089291,-0.592393,0.264628
7.154626,-6.586880,1.558440,-0.100255,-0.672323,0.316369
7.980071,-6.503402,1.202875,-0.079324,-0.741381,0.348793
8.703955,-5.265072,1.897187,-0.076159,-0.809412,0.393353
9.694100,-4.999537,2.329387,-0.069756,-0.860350,0.425255
11.240755,-5.049286,1.620733,-0.099408,-0.946388,0.443825
11.599907,-4.495862,1.395703,-0.059248,-1.012863,0.466638
9.947484,-4.717048,2.184580,-0.050311,-0.979049,0.502421
13.000316,-6.563293,2.539278,-0.139229,-1.105907,0.521265
9.963244,-2.816373,1.146083,-0.015788,-1.061617,0.539318
12.320614,-5.054355,2.546553,-0.056549,-1.155146,0.547158
10.582277,-2.193597,0.630443,0.025377,-1.139766,0.552308
13.389933,-4.598047,3.334655,-0.025602,-1.220917,0.557623
11.481776,-1.623499,0.810104,0.090420,-1.199341,0.586796
10.906601,-3.445024,1.188150,0.065347,-1.207092,0.621673
10.814873,-2.296648,1.461388,0.091941,-1.210935,0.607467
11.899644,-1.363034,1.170787,0.158619,-1.222291,0.603608
10.947353,-0.949900,1.550562,0.185263,-1.213209,0.617829
10.448094,0.435272,1.535321,0.188202,-1.209788,0.649021
11.878198,-0.766957,2.032957,0.165925,-1.255984,0.716890
12.182951,1.912681,2.281796,0.262706,-1.282469,0.793031
12.983046,1.547314,1.640646,0.290535,-1.345300,0.842616
11.863219,2.894017,2.181164,0.382004,-1.327722,0.857398
14.155090,2.764666,2.878755,0.366675,-1.432030,0.875122
16.431240,3.162145,2.558463,0.346877,-1.553475,0.947911
14.764997,3.849141,3.395555,0.432663,-1.525543,1.026738
13.348022,5.557381,3.137961,0.473448,-1.507601,1.113737
11.759139,3.714886,3.324525,0.440046,-1.489707,1.166570
11.710905,5.057787,2.870664,0.470217,-1.465683,1.201618
10.281344,5.680485,2.625150,0.511711,-1.394137,1.224815
9.719611,3.772562,2.286802,0.478178,-1.318285,1.216702
10.137944,2.427718,2.112784,0.411812,-1.308983,1.135591
8.571021,1.722679,2.740587,0.339295,-1.180400,1.028943
7.334784,1.391041,1.825901,0.304686,-1.064056,0.922200
7.667695,-1.322410,2.712241,0.144042,-1.018875,0.875834
5.179842,-0.652124,1.625442,0.127954,-0.878288,0.892374
8.645056,-0.008422,1.397422,0.147163,-0.943287,0.860570
4.450965,1.309842,0.392675,0.198620,-0.695411,0.845982
3.030698,-1.702319,0.615846,0.040598,-0.614071,0.838177
4.097915,-1.232831,0.666721,0.002412,-0.571108,0.785876
7.992914,-0.462173,1.003665,0.008043,-0.678768,0.749139
5.185583,-2.452378,0.250855,-0.099711,-0.556869,0.784176
5.689646,-1.205958,0.185581,-0.124130,-0.522781,0.785224
5.809062,-1.742312,0.367265,-0.194048,-0.449884,0.787435
5.943525,-4.095662,-0.462355,-0.350367,-0.442786,0.756160
4.954032,-3.347653,0.011827,-0.361802,-0.366226,0.760679
7.431231,-1.061999,-0.046379,-0.309886,-0.416046,0.715570
7.732330,-1.698545,0.245238,-0.348622,-0.426088,0.700972
4.819379,-5.771726,-0.433317,-0.549539,-0.336156,0.718699
3.581150,-5.117295,-1.731925,-0.607167,-0.297288,0.711467
6.659828,-5.996130,0.125225,-0.713475,-0.401615,0.708431
3.283315,-3.966506,-1.185317,-0.643920,-0.279160,0.750934
6.227540,-3.031177,-0.554741,-0.656146,-0.375531,0.723716
5.404439,-3.678859,0.231844,-0.670650,-0.358664,0.751387
4.775161,-5.092756,-1.500657,-0.755254,-0.355292,0.770302
3.613268,-7.344211,-1.454761,-0.891577,-0.328416,0.769234
4.013952,-8.023885,-1.367338,-0.990413,-0.411198,0.776647
7.116427,-7.129370,-1.077615,-0.993719,-0.560652,0.720031
4.958003,-9.686721,-0.365265,-1.088804,-0.578202,0.711656
4.823683,-10.697807,-0.856898,-1.166200,-0.604074,0.671795
3.037079,-11.534829,-1.909060,-1.229401,-0.576255,0.641183
4.104508,-11.516403,-1.992521,-1.272759,-0.659041,0.579745
4.587243,-12.275270,-1.921028,-1.286959,-0.709455,0.554315
5.070268,-12.272306,-3.325231,-1.302416,-0.769430,0.525537
5.568180,-13.294724,-1.971280,-1.337440,-0.789713,0.504305
5.835433,-13.144409,-3.957120,-1.388709,-0.838226,0.506022
5.429672,-14.308520,-2.470559,-1.406884,-0.819685,0.503136
5.386115,-15.364570,-4.594628,-1.472614,-0.851253,0.485297
3.992675,-16.020195,-4.800611,-1.520670,-0.797375,0.457076
5.509951,-16.501989,-2.871475,-1.523674,-0.853269,0.420141
6.795562,-16.934279,-4.790866,-1.623891,-0.939819,0.425556
6.351237,-16.978889,-3.370252,-1.578568,-0.953949,0.421084
9.404949,-14.350794,-2.728525,-1.439703,-1.102316,0.412028
7.891044,-13.208907,-3.001854,-1.338082,-1.121559,0.444212
6.294884,-11.797853,-3.154142,-1.198644,-1.106531,0.466354
6.476676,-11.735770,-2.206116,-1.119881,-1.159238,0.467552
6.213211,-9.516292,-1.191126,-0.942936,-1.130907,0.483313
7.591280,-8.070024,-0.468152,-0.821345,-1.192695,0.479920
5.217333,-6.312715,1.474990,-0.597686,-1.086076,0.497201
4.862754,-7.316138,1.617721,-0.650773,-1.063844,0.521568
6.437459,-5.093738,2.216846,-0.473149,-1.118454,0.524122
5.449581,-3.361337,2.573001,-0.313069,-1.039578,0.509102
7.200673,-3.131175,2.650715,-0.254408,-1.055470,0.492771
8.145873,-2.307174,2.944482,-0.204149,-1.055310,0.440103
6.192170,-2.035758,3.110492,-0.170042,-0.938411,0.432734
5.662743,-2.517080,2.184508,-0.152084,-0.905801,0.422439
5.291350,-3.159845,2.364566,-0.152355,-0.849146,0.415975
4.129263,-3.144167,1.852867,-0.150008,-0.758152,0.375103
4.630981,-1.541728,2.226537,-0.094304,-0.700503,0.337467
3.502567,-1.925711,1.370511,-0.085195,-0.629917,0.301072
1.521527,-2.496597,1.662291,-0.105962,-0.517376,0.272790
2.862052,-1.424133,1.982639,-0.054782,-0.494677,0.265796
3.753753,-0.279229,1.953250,-0.030805,-0.471997,0.277554
3.887360,-2.286072,1.683611,-0.111013,-0.448767,0.274582
0.369536,-1.394896,1.224576,-0.090442,-0.254773,0.291997
-1.108090,-0.965995,1.034422,-0.094347,-0.144802,0.310108
-0.101530,-4.206724,3.492617,-0.248043,-0.160395,0.312966
-3.222086,-4.256043,5.597397,-0.356497,-0.027171,0.341853
-2.375036,-4.065509,5.573656,-0.353481,-0.071951,0.356919
-0.286392,-3.288777,4.232990,-0.326241,-0.151747,0.368135
0.320035,-3.600457,3.725893,-0.338672,-0.209897,0.369309
-1.227918,-1.637248,2.756793,-0.247848,-0.114370,0.401557
-2.237289,-1.610586,2.842528,-0.245615,-0.055148,0.439198
-4.083597,-0.972417,2.139231,-0.213293,0.049015,0.487948
-4.714432,-1.279733,2.986158,-0.225323,0.113571,0.519608
-5.970832,-1.896768,3.254634,-0.233940,0.193890,0.537270
-6.246926,-2.361641,3.931085,-0.276866,0.214316,0.529777
-6.021632,-2.430538,5.019819,-0.268143,0.212523,0.512743
-4.469034,-3.148632,6.040464,-0.297516,0.117430,0.467318
-3.270192,-3.520091,7.496912,-0.343381,0.021527,0.410989
-3.266985,-4.104193,8.736328,-0.376299,-0.023740,0.369439
-4.039465,-3.898659,8.966048,-0.332923,0.019291,0.348884
-3.864834,-3.545675,10.237995,-0.308121,0.005084,0.332626
-4.257118,-2.915234,10.619948,-0.252148,0.019028,0.314644
-4.942243,-3.460489,11.856955,-0.242455,0.048096,0.299443
-6.332233,-3.917008,13.436396,-0.277080,0.154479,0.291715
-8.462216,-3.648259,13.968817,-0.288208,0.302551,0.287814
-8.398974,-4.555042,13.723228,-0.296195,0.334668,0.272228
-7.930706,-4.791950,13.141485,-0.271851,0.336332,0.255064
-9.087289,-3.412171,13.218750,-0.228613,0.402030,0.245093
-10.312838,-4.599229,13.834957,-0.243800,0.514535,0.216543
-10.341807,-4.837306,13.402492,-0.254372,0.585202,0.213955
-11.249981,-4.047327,13.047348,-0.249277,0.667539,0.188496
-9.908365,-4.155747,13.974233,-0.191701,0.619812,0.162763
-9.068025,-2.949037,12.355191,-0.144601,0.583614,0.151164
-10.394929,-3.055435,13.159154,-0.126249,0.695840,0.151921
-12.346076,-3.362741,12.417470,-0.170918,0.804118,0.129386
-11.082889,-4.910518,12.043115,-0.249731,0.805798,0.108717
-9.038714,-5.391481,11.735554,-0.315450,0.647359,0.089384
-7.507955,-6.080642,10.233508,-0.398000,0.530128,0.073193
-8.681337,-7.451614,9.352211,-0.489754,0.611777,0.049351
-9.796412,-6.450779,9.389031,-0.529025,0.715349,0.045589
-10.375389,-6.839743,8.201564,-0.478473,0.769487,0.056947
-9.430460,-5.671237,8.671267,-0.421215,0.745089,0.070807
-9.316596,-5.408079,8.235456,-0.390787,0.709079,0.088418
-10.707305,-5.211061,7.696040,-0.350754,0.794710,0.089869
-11.011620,-3.701392,6.948488,-0.245870,0.850493,0.091753
-9.827785,-2.474845,6.402216,-0.150184,0.761947,0.092034
-8.177814,-2.454321,5.285389,-0.087391,0.690446,0.080542
-9.183746,-3.693674,4.844899,-0.177977,0.721816,0.048906
-11.053481,-5.362884,3.656563,-0.251785,0.854609,0.012652
-10.907618,-5.153079,3.191758,-0.258810,0.875277,-0.014378
-10.386199,-4.767395,2.814644,-0.245989,0.825955,-0.018462
-8.925454,-4.595227,3.674336,-0.228091,0.708312,-0.027328
-8.603645,-4.522556,4.393839,-0.250338,0.667005,-0.051694
-9.443224,-3.327394,4.414239,-0.200332,0.721143,-0.054950
-8.592259,-1.922776,5.645935,-0.062828,0.724878,-0.045587
-8.390247,-0.553927,4.892793,0.024110,0.714870,-0.029955
-6.406557,-1.101000,5.756154,0.027481,0.572406,-0.034395
-6.176123,-2.395081,6.349565,-0.070744,0.522305,-0.050622
-6.729574,-3.111896,5.332090,-0.176315,0.531838,-0.074199
-5.452326,-4.058895,5.565964,-0.203235,0.482285,-0.076631
-4.549997,-3.030656,3.813489,-0.180750,0.423244,-0.068912
-3.004914,-3.461416,4.520727,-0.211224,0.325287,-0.066646
-4.100608,-3.165221,3.686651,-0.240869,0.343508,-0.073472
-4.478129,-4.602505,4.838746,-0.317594,0.356683,-0.111310
-5.540977,-4.379833,3.276379,-0.293544,0.386989,-0.114923
-4.032172,-4.315986,5.528683,-0.272660,0.316365,-0.114479
-4.567182,-2.901366,3.975117,-0.219854,0.347558,-0.105499
-6.022881,-2.991340,5.600630,-0.198992,0.411796,-0.094671
-6.895694,-3.447874,5.638183,-0.175464,0.511416,-0.095933
-7.731036,-0.753712,3.618219,-0.084758,0.537965,-0.057812
-5.285305,-0.403860,6.117716,-0.027919,0.427792,-0.047429
